|6.6.6
mars_kc08_atm_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          23
P(bar)         T(K)           O              O              Cpx            Gt             Gt             qtz            ky             an             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          Pv            
  6401.00        579.210        60.0641                 NaN   9.11773                 NaN            NaN            NaN   3.76980                 NaN   27.0484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        583.076        60.0656                 NaN   9.11797                 NaN            NaN            NaN   3.77030                 NaN   27.0462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        586.932        60.0651                 NaN   9.11827                 NaN            NaN            NaN   3.76910                 NaN   27.0475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        590.778        60.0646                 NaN   9.11858                 NaN            NaN            NaN   3.76791                 NaN   27.0489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        594.613        60.0642                 NaN   9.11889                 NaN            NaN            NaN   3.76672                 NaN   27.0502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        598.438        60.0662                 NaN   9.11914                 NaN            NaN            NaN   3.76765                 NaN   27.0470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        602.253        60.0656                 NaN   9.11945                 NaN            NaN            NaN   3.76636                 NaN   27.0486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        606.058        60.0650                 NaN   9.11976                 NaN            NaN            NaN   3.76508                 NaN   27.0502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        609.853        60.0644                 NaN   9.12006                 NaN            NaN            NaN   3.76380                 NaN   27.0517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        613.637        60.0646                 NaN   9.12035                 NaN            NaN            NaN   3.76316                 NaN   27.0519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
