|6.6.6
mars1_1.tab                                                                                         
           1
P(bar)  
   234999.00000000000     
   234999.00000000000     
  173529599
           3
P(bar)         T(K)           rho,kg/m3     
  10765.0        1330.07        3464.62     
  10788.5        1330.21        3464.69     
  10812.0        1330.34        3464.75     
  10835.5        1330.47        3464.82     
  10859.0        1330.60        3464.88     
  10882.5        1330.73        3464.95     
  10906.0        1330.86        3465.01     
  10929.5        1330.99        3465.08     
  10953.0        1331.12        3465.14     
  10976.6        1331.25        3465.21     
  11000.1        1331.38        3465.27     
  11023.6        1331.51        3465.34     
  11047.1        1331.65        3465.41     
  11070.6        1331.78        3465.47     
  11094.1        1331.91        3465.54     
  11117.6        1332.04        3465.60     
  11141.1        1332.17        3465.67     
  11164.6        1332.30        3465.73     
  11188.1        1332.43        3465.80     
  11211.6        1332.57        3465.86     
  11235.1        1332.70        3465.93     
  11258.6        1332.83        3465.99     
  11282.1        1332.96        3466.06     
  11305.6        1333.09        3466.12     
  11329.1        1333.22        3466.19     
  11352.6        1333.36        3466.25     
  11376.1        1333.49        3466.32     
  11399.6        1333.62        3466.38     
  11423.1        1333.75        3466.45     
  11446.6        1333.88        3466.51     
  11470.1        1334.01        3466.58     
  11493.6        1334.15        3466.64     
  11517.1        1334.28        3466.71     
  11540.6        1334.41        3466.77     
  11564.1        1334.54        3466.84     
  11587.6        1334.67        3466.90     
  11611.1        1334.81        3466.97     
  11634.6        1334.94        3467.04     
  11658.1        1335.07        3467.10     
  11681.6        1335.20        3467.17     
  11705.1        1335.34        3467.23     
  11728.6        1335.47        3467.30     
  11752.1        1335.60        3467.33     
  11775.6        1335.73        3467.39     
  11799.1        1335.87        3467.46     
  11822.6        1336.00        3467.52     
  11846.1        1336.13        3467.59     
  11869.6        1336.26        3467.66     
  11893.1        1336.40        3467.72     
  11916.6        1336.53        3467.79     
  11940.1        1336.66        3467.85     
  11963.6        1336.79        3467.92     
  11987.1        1336.93        3467.98     
  12010.6        1337.06        3468.05     
  12034.2        1337.19        3468.12     
  12057.7        1337.32        3468.18     
  12081.2        1337.46        3468.25     
  12104.7        1337.59        3468.31     
  12128.2        1337.72        3468.38     
  12151.7        1337.86        3468.45     
  12175.2        1337.99        3468.51     
  12198.7        1338.12        3468.58     
  12222.2        1338.26        3468.64     
  12245.7        1338.39        3468.71     
  12269.2        1338.52        3468.77     
  12292.7        1338.66        3468.84     
  12316.2        1338.79        3468.91     
  12339.7        1338.92        3468.97     
  12363.2        1339.06        3469.04     
  12386.7        1339.19        3469.10     
  12410.2        1339.32        3469.17     
  12433.7        1339.46        3469.23     
  12457.2        1339.59        3469.30     
  12480.7        1339.72        3469.37     
  12504.2        1339.86        3469.43     
  12527.7        1339.99        3469.50     
  12551.2        1340.12        3469.56     
  12574.7        1340.26        3469.63     
  12598.2        1340.39        3469.69     
  12621.7        1340.53        3469.76     
  12645.2        1340.66        3469.82     
  12668.7        1340.79        3469.89     
  12692.2        1340.93        3469.96     
  12715.7        1341.06        3470.02     
  12739.2        1341.20        3470.09     
  12762.7        1341.33        3470.15     
  12786.2        1341.46        3470.22     
  12809.7        1341.60        3470.28     
  12833.2        1341.73        3470.34     
  12856.7        1341.87        3470.39     
  12880.2        1342.00        3470.45     
  12903.7        1342.13        3470.51     
  12927.2        1342.27        3470.56     
  12950.7        1342.40        3470.62     
  12974.2        1342.54        3470.67     
  12997.7        1342.67        3470.73     
  13021.2        1342.81        3470.79     
  13044.7        1342.94        3470.84     
  13068.3        1343.07        3470.90     
  13091.8        1343.21        3470.95     
  13115.3        1343.34        3471.01     
  13138.8        1343.48        3471.07     
  13162.3        1343.61        3471.12     
