|6.6.6
mars_bf97_atl_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            NaAl           ca-pv          Pv            
  5401.00        453.873        18.7309        18.7309        96.5045                 NaN   29.3236        32.3915                 NaN            NaN   18.7309        18.7309        18.7309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        456.876        18.7306        18.7306        96.5045                 NaN   29.3232        32.3911                 NaN            NaN   18.7306        18.7306        18.7306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        459.875        18.7295        18.7295        96.5046                 NaN   29.3499        32.3906                 NaN            NaN   18.7295        18.7295        18.7295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        462.867        18.7291        18.7291        96.5046                 NaN   29.3496        32.3902                 NaN            NaN   18.7291        18.7291        18.7291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        465.855        18.7282        18.7282        96.5048                 NaN   29.3783        32.3900                 NaN            NaN   18.7282        18.7282        18.7282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        468.837        18.7279        18.7279        96.5048                 NaN   29.3780        32.3896                 NaN            NaN   18.7279        18.7279        18.7279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        471.814        18.7275        18.7275        96.5047                 NaN   29.3776        32.3893                 NaN            NaN   18.7275        18.7275        18.7275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        474.785        18.7233        18.7233        96.5050                 NaN   21.6711        32.3864                 NaN            NaN   18.7233        18.7233        18.7233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        477.752        18.7230        18.7230        96.5050                 NaN   21.6707        32.3860                 NaN            NaN   18.7230        18.7230        18.7230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        480.712        18.7226        18.7226        96.5050                 NaN   21.6704        32.3856                 NaN            NaN   18.7226        18.7226        18.7226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
