|6.6.6
mars1_2.tab                                                                                         
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           3
P(bar)         T(K)           rho,kg/m3     
  3451.00        1291.52        3321.32     
  3461.00        1291.56        3321.38     
  3471.00        1291.61        3321.44     
  3481.00        1291.66        3321.50     
  3491.00        1291.71        3321.56     
  3501.00        1291.76        3321.62     
  3511.00        1291.81        3321.68     
  3521.00        1291.86        3321.74     
  3531.00        1291.91        3321.80     
  3541.00        1291.96        3321.86     
  3551.00        1292.01        3321.92     
  3561.00        1292.06        3321.98     
  3571.00        1292.11        3322.04     
  3581.00        1292.16        3322.10     
  3591.00        1292.21        3322.17     
  3601.00        1292.26        3322.23     
  3611.00        1292.31        3322.29     
  3621.00        1292.36        3322.35     
  3631.00        1292.41        3322.41     
  3641.00        1292.46        3322.47     
  3651.00        1292.51        3322.53     
  3661.00        1292.56        3322.59     
  3671.00        1292.61        3322.65     
  3681.00        1292.66        3322.71     
  3691.00        1292.71        3322.77     
  3701.00        1292.76        3322.83     
  3711.00        1292.81        3322.89     
  3721.00        1292.86        3322.95     
  3731.00        1292.91        3323.01     
  3741.00        1292.96        3323.07     
  3751.00        1293.01        3323.13     
  3761.00        1293.06        3323.19     
  3771.00        1293.11        3323.25     
  3781.00        1293.16        3323.31     
  3791.00        1293.21        3323.37     
  3801.00        1293.26        3323.43     
  3811.00        1293.31        3323.49     
  3821.00        1293.36        3323.55     
  3831.00        1293.41        3323.61     
  3841.00        1293.46        3323.67     
  3851.00        1293.51        3323.73     
  3861.00        1293.56        3323.79     
  3871.00        1293.61        3323.85     
  3881.00        1293.66        3323.91     
  3891.00        1293.71        3323.97     
  3901.00        1293.76        3324.03     
  3911.00        1293.81        3324.09     
  3921.00        1293.86        3324.15     
  3931.00        1293.91        3324.21     
  3941.00        1293.96        3324.27     
  3951.00        1294.01        3324.34     
  3961.00        1294.06        3324.40     
  3971.00        1294.11        3324.46     
  3981.00        1294.16        3324.52     
  3991.00        1294.21        3324.58     
  4001.00        1294.26        3324.64     
  4011.00        1294.31        3324.70     
  4021.00        1294.36        3324.76     
  4031.00        1294.41        3324.82     
  4041.00        1294.46        3324.88     
  4051.00        1294.51        3324.94     
  4061.00        1294.56        3325.00     
  4071.00        1294.61        3325.06     
  4081.00        1294.66        3325.12     
  4091.00        1294.71        3325.18     
  4101.00        1294.76        3325.24     
  4111.00        1294.81        3325.30     
  4121.00        1294.86        3325.36     
  4131.00        1294.91        3325.42     
  4141.00        1294.96        3325.48     
  4151.00        1295.01        3325.54     
  4161.00        1295.06        3325.60     
  4171.00        1295.11        3325.66     
  4181.00        1295.16        3325.72     
  4191.00        1295.21        3325.78     
  4201.00        1295.26        3325.84     
  4211.00        1295.31        3325.90     
  4221.00        1295.36        3325.96     
  4231.00        1295.41        3326.02     
  4241.00        1295.46        3326.08     
  4251.00        1295.51        3326.14     
  4261.00        1295.56        3326.20     
  4271.00        1295.61        3326.26     
  4281.00        1295.66        3326.32     
  4291.00        1295.71        3326.38     
  4301.00        1295.76        3326.44     
  4311.00        1295.81        3326.50     
  4321.00        1295.86        3326.56     
  4331.00        1295.91        3326.62     
  4341.00        1295.96        3326.68     
  4351.00        1296.01        3326.74     
