|6.6.6
mars_lf97_atl_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  4501.00        426.599                 NaN            NaN   52.7875                 NaN   9.87304        6.65412                 NaN            NaN            NaN   1.95121        28.7341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        429.651                 NaN            NaN   52.7882                 NaN   9.86102        6.66784                 NaN            NaN            NaN   1.95111        28.7318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        432.697                 NaN            NaN   52.7886                 NaN   9.86106        6.66785                 NaN            NaN            NaN   1.95112        28.7314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        435.739        10.2495                 NaN   56.2186                 NaN   9.98480                 NaN            NaN            NaN            NaN   1.90208        21.6451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        438.774        10.2487                 NaN   56.2194                 NaN   9.98490                 NaN            NaN            NaN            NaN   1.90211        21.6449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        441.805        10.2480                 NaN   56.2202                 NaN   9.98500                 NaN            NaN            NaN            NaN   1.90213        21.6447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        444.830        10.2473                 NaN   56.2210                 NaN   9.98510                 NaN            NaN            NaN            NaN   1.90215        21.6444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        447.850        10.2465                 NaN   56.2219                 NaN   9.98521                 NaN            NaN            NaN            NaN   1.90218        21.6442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        450.864                 NaN            NaN   52.7945                 NaN   9.89430        6.63611                 NaN            NaN            NaN   1.95071        28.7244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        453.873                 NaN            NaN   52.7949                 NaN   9.89434        6.63611                 NaN            NaN            NaN   1.95072        28.7239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        456.876                 NaN            NaN   52.7953                 NaN   9.89437        6.63612                 NaN            NaN            NaN   1.95073        28.7234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        459.875                 NaN            NaN   52.7960                 NaN   9.90315        6.62795                 NaN            NaN            NaN   1.95048        28.7224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        462.867                 NaN            NaN   52.7965                 NaN   9.90318        6.62796                 NaN            NaN            NaN   1.95050        28.7219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        465.855                 NaN            NaN   52.7972                 NaN   9.91254        6.61924                 NaN            NaN            NaN   1.95019        28.7208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        468.837                 NaN            NaN   52.7976                 NaN   9.91257        6.61925                 NaN            NaN            NaN   1.95020        28.7203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        471.814                 NaN            NaN   52.7981                 NaN   9.91261        6.61926                 NaN            NaN            NaN   1.95022        28.7199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        474.785                 NaN            NaN   52.8023                 NaN   9.93330        6.59984                 NaN            NaN            NaN   1.94978        28.7148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        477.752                 NaN            NaN   52.8027                 NaN   9.93333        6.59984                 NaN            NaN            NaN   1.94979        28.7143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        480.712                 NaN            NaN   52.8032                 NaN   9.93336        6.59985                 NaN            NaN            NaN   1.94980        28.7138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        483.668                 NaN            NaN   52.8011                 NaN   9.93326        6.60001                 NaN            NaN            NaN   1.94956        28.7161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        486.618                 NaN            NaN   52.8015                 NaN   9.93329        6.60002                 NaN            NaN            NaN   1.94957        28.7156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        489.563                 NaN            NaN   52.8044                 NaN   9.93346        6.59988                 NaN            NaN            NaN   1.94984        28.7124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        492.503                 NaN            NaN   52.8049                 NaN   9.93350        6.59988                 NaN            NaN            NaN   1.94985        28.7119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        495.437                 NaN            NaN   52.8053                 NaN   9.93353        6.59989                 NaN            NaN            NaN   1.94986        28.7114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        498.367                 NaN            NaN   52.8057                 NaN   9.93356        6.59990                 NaN            NaN            NaN   1.94988        28.7109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        501.290                 NaN            NaN   52.8061                 NaN   9.93360        6.59991                 NaN            NaN            NaN   1.94989        28.7105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
