|6.6.6
mars_t13_atm_3.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  5901.00        559.722        24.5928                 NaN   96.7403                 NaN   35.5700                 NaN            NaN            NaN   24.5928        20.0669        20.0669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        563.641        24.5811                 NaN   96.7410                 NaN   35.5833                 NaN            NaN            NaN   24.5811        20.0942        20.0942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        567.548        24.5719                 NaN   96.7411                 NaN   35.5916                 NaN            NaN            NaN   24.5719        20.1127        20.1127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        571.446        24.5601                 NaN   96.7417                 NaN   35.6044                 NaN            NaN            NaN   24.5601        20.1393        20.1393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        575.333        24.5490                 NaN   96.7421                 NaN   35.6157                 NaN            NaN            NaN   24.5490        20.1631        20.1631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        579.210        24.5369                 NaN   96.7427                 NaN   35.6292                 NaN            NaN            NaN   24.5369        20.1911        20.1911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        583.076        24.5237                 NaN   96.7419                 NaN   35.6379                 NaN            NaN            NaN   24.5237        20.2123        20.2123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        586.932        24.5091                 NaN   96.7424                 NaN   35.6536                 NaN            NaN            NaN   24.5091        20.2451        20.2451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        590.778        24.4945                 NaN   96.7429                 NaN   35.6692                 NaN            NaN            NaN   24.4945        20.2779        20.2779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        594.613        24.1327                 NaN   96.7295                 NaN   35.9990                 NaN            NaN            NaN   24.1327        21.0032        21.0032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
