|6.6.6
mars_ma79_ath_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          25
P(bar)         T(K)           Sp             O              Cpx            Cpx            Gt             Gt             Gt             Pl             Pl             ky             qtz            Opx            Ring           Ring           Wus            Wus            C2/c           Wad            st             Aki            NaAl           ca-pv          Pv            
  6101.00        719.811        8.56904        47.5675        22.1360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        725.654        8.56318        47.5738        22.1392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        731.468        8.52490        47.6158        22.1533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        737.251        8.51581        47.6257        22.1573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.7013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        743.005        8.50845        47.6337        22.1608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        748.730        8.50124        47.6415        22.1642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        754.426        8.49003        47.6538        22.1680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        760.092        8.48072        47.6640        22.1719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        765.729        8.51797        47.6227        22.1623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        771.337        8.46567        47.6803        22.1785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        776.916        8.45465        47.6925        22.1812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        782.466        8.49629        47.6463        22.1727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        787.988        8.48814        47.6552        22.1764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        793.482        8.42869        47.7208        22.1914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        798.947        8.47331        47.6713        22.1836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        804.384        8.46539        47.6800        22.1873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        809.792        8.46115        47.6850        22.1900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        815.173        8.44822        47.6987        22.1946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        820.526        8.44049        47.7072        22.1984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        825.851        8.37351        47.7811        22.2138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        831.148        8.42294        47.7263        22.2061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        836.418        8.41419        47.7359        22.2099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        841.661        8.34451        47.8128        22.2262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        846.876        8.39542        47.7565        22.2179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        852.064        8.32865        47.8301        22.2337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        857.224        8.31999        47.8396        22.2376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        862.358        8.31756        47.8422        22.2402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8801.00        867.466        8.35722        47.7984        22.2337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8901.00        872.546        8.34484        47.8120        22.2383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9001.00        877.600        8.33794        47.8195        22.2410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.6015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9101.00        882.627        8.32161        47.8371        22.2469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.5944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9201.00        887.628        8.32160        47.8375        22.2470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.5939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9301.00        892.602        4.13880        52.9404        20.1161                 NaN   12.5913                 NaN            NaN            NaN            NaN            NaN            NaN   10.2134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9401.00        897.551        4.88503        52.0288        20.4903                 NaN   10.3027                 NaN            NaN            NaN            NaN            NaN            NaN   12.2932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9501.00        902.473        4.88501        52.0291        20.4903                 NaN   10.3026                 NaN            NaN            NaN            NaN            NaN            NaN   12.2929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9601.00        907.370        5.64652        51.0981        20.8848                 NaN   7.95843                 NaN            NaN            NaN            NaN            NaN            NaN   14.4122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9701.00        912.241        6.41925        50.1527        21.2957                 NaN   5.57022                 NaN            NaN            NaN            NaN            NaN            NaN   16.5622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9801.00        917.086        6.41924        50.1530        21.2957                 NaN   5.57022                 NaN            NaN            NaN            NaN            NaN            NaN   16.5618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9901.00        921.905        7.19171        49.2072        21.7174                 NaN   3.17254                 NaN            NaN            NaN            NaN            NaN            NaN   18.7111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10001.0        926.699        7.19170        49.2076        21.7174                 NaN   3.17254                 NaN            NaN            NaN            NaN            NaN            NaN   18.7107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10101.0        931.467       0.282383        57.6454        17.8656                 NaN   24.2067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10201.0        936.211       0.271502        57.6590        17.8417                 NaN   24.2278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10301.0        940.929       0.271500        57.6591        17.8417                 NaN   24.2277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10401.0        945.622       0.262225        57.6708        17.8239                 NaN   24.2431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10501.0        950.290       0.268950        57.6577        17.9426                 NaN   24.1307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10601.0        954.933       0.251107        57.6793        17.8933                 NaN   24.1763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10701.0        959.552       0.232853        57.7014        17.8419                 NaN   24.2239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10801.0        964.146       0.213431        57.7253        17.7786                 NaN   24.2826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10901.0        968.715       0.200674        57.7405        17.7557                 NaN   24.3031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11001.0        973.261       0.162747        57.7898        17.5707                 NaN   24.4767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11101.0        977.781       0.140269        57.8176        17.4963                 NaN   24.5458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11201.0        982.278       0.149614        57.8013        17.6357                 NaN   24.4134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11301.0        986.751       0.224700        57.7179        17.7588                 NaN   24.2986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11401.0        991.199       0.870112E-001   57.8828        17.3351                 NaN   24.6951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11501.0        995.624       0.109970        57.8560        17.4067                 NaN   24.6274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11601.0        1000.02       0.205547        57.7415        17.7302                 NaN   24.3227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11701.0        1004.40                 NaN   57.9884        17.0697                 NaN   24.9420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11801.0        1008.76                 NaN   57.9885        17.0696                 NaN   24.9419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
