|6.6.6
mars_ma79_atl_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          25
P(bar)         T(K)           Sp             O              Cpx            Cpx            Gt             Gt             Gt             Pl             Pl             ky             qtz            Opx            Ring           Ring           Wus            Wus            C2/c           Wad            st             Aki            NaAl           ca-pv          Pv            
  5501.00        456.876                 NaN   89.0213        22.1526                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        459.875                 NaN   89.0215        22.1531                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        462.867                 NaN   89.0218        22.1533                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        465.855                 NaN   89.0220        22.1537                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        468.837                 NaN   89.0223        22.1541                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        471.814                 NaN   89.0226        22.1545                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        474.785                 NaN   89.0229        22.1550                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        477.752                 NaN   89.0233        22.1555                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        480.712                 NaN   89.0236        22.1560                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        483.668                 NaN   89.0239        22.1564                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        486.618                 NaN   89.0283        22.1626                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        489.563                 NaN   89.0245        22.1572                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        492.503                 NaN   89.0248        22.1577                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        495.437                 NaN   89.0252        22.1582                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        498.367                 NaN   89.0255        22.1587                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        501.290                 NaN   89.0259        22.1592                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        504.209                 NaN   89.0327        22.1681                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        507.122                 NaN   89.0332        22.1688                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        510.031                 NaN   89.0341        22.1699                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        512.933                 NaN   89.0347        22.1707                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        515.831                 NaN   89.0353        22.1715                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        518.724                 NaN   89.0359        22.1722                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        521.611                 NaN   89.0369        22.1734                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
