|6.6.6
mars_t13_atl_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  7701.00        521.611                 NaN            NaN   59.7614                 NaN   3.04984        10.7884                 NaN            NaN            NaN   3.33271        23.0677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        524.493                 NaN            NaN   59.7617                 NaN   3.04984        10.7884                 NaN            NaN            NaN   3.33273        23.0672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        527.370                 NaN            NaN   59.7626                 NaN   3.00362        10.8356                 NaN            NaN            NaN   3.33219        23.0660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        530.241                 NaN            NaN   59.7630                 NaN   3.00362        10.8356                 NaN            NaN            NaN   3.33221        23.0656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        533.108                 NaN            NaN   59.7634                 NaN   3.00362        10.8356                 NaN            NaN            NaN   3.33223        23.0652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        535.969                 NaN            NaN   59.7619                 NaN   2.95428        10.8859                 NaN            NaN            NaN   3.33105        23.0669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        538.825                 NaN            NaN   59.7623                 NaN   2.95428        10.8859                 NaN            NaN            NaN   3.33107        23.0665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        541.676                 NaN            NaN   59.7627                 NaN   2.95428        10.8859                 NaN            NaN            NaN   3.33109        23.0660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        544.521                 NaN            NaN   59.7566                 NaN   2.90087        10.9392       0.218942E-001            NaN            NaN   3.32233        23.0590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        547.362                 NaN            NaN   59.7570                 NaN   2.90087        10.9393       0.218945E-001            NaN            NaN   3.32235        23.0586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        550.197                 NaN            NaN   59.6225                 NaN   2.84734        10.9740       0.394440                 NaN            NaN   3.17888        22.9829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
