|6.6.6
mars_kc08_ath_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          23
P(bar)         T(K)           O              O              Cpx            Gt             Gt             qtz            ky             an             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          Pv            
  7701.00        809.792        52.6917                 NaN   9.08957                 NaN            NaN            NaN            NaN            NaN   35.0384                 NaN   3.18032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        815.173        52.7118                 NaN   9.08636                 NaN            NaN            NaN            NaN            NaN   35.0395                 NaN   3.16229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        820.526        52.7244                 NaN   9.08540                 NaN            NaN            NaN            NaN            NaN   35.0389                 NaN   3.15137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        825.851        52.8197                 NaN   9.05913                 NaN            NaN            NaN            NaN            NaN   35.0566                 NaN   3.06452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        831.148        52.7524                 NaN   9.08220                 NaN            NaN            NaN            NaN            NaN   35.0386                 NaN   3.12683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        836.418        52.7664                 NaN   9.08062                 NaN            NaN            NaN            NaN            NaN   35.0384                 NaN   3.11459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        841.661        52.8629                 NaN   9.05359                 NaN            NaN            NaN            NaN            NaN   35.0569                 NaN   3.02657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        846.876        52.7960                 NaN   9.07702                 NaN            NaN            NaN            NaN            NaN   35.0384                 NaN   3.08857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        852.064        52.8871                 NaN   9.05134                 NaN            NaN            NaN            NaN            NaN   35.0559                 NaN   3.00562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        857.224        52.9008                 NaN   9.04995                 NaN            NaN            NaN            NaN            NaN   35.0556                 NaN   2.99363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        862.358        52.9057                 NaN   9.05112                 NaN            NaN            NaN            NaN            NaN   35.0534                 NaN   2.98974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8801.00        867.466        52.8560                 NaN   9.06938                 NaN            NaN            NaN            NaN            NaN   35.0388                 NaN   3.03580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8901.00        872.546        52.9427                 NaN   9.04513                 NaN            NaN            NaN            NaN            NaN   35.0552                 NaN   2.95697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9001.00        877.600        52.8860                 NaN   9.06483                 NaN            NaN            NaN            NaN            NaN   35.0398                 NaN   3.00938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9101.00        882.627        52.9108                 NaN   9.06080                 NaN            NaN            NaN            NaN            NaN   35.0412                 NaN   2.98715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9201.00        887.628        52.9114                 NaN   9.06086                 NaN            NaN            NaN            NaN            NaN   35.0406                 NaN   2.98715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9301.00        892.602        56.5467                 NaN   7.33653        8.84246                 NaN            NaN            NaN            NaN   27.2744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9401.00        897.551        56.5472                 NaN   7.33656        8.84247                 NaN            NaN            NaN            NaN   27.2738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9501.00        902.473        56.5476                 NaN   7.33659        8.84249                 NaN            NaN            NaN            NaN   27.2733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9601.00        907.370        56.5481                 NaN   7.33662        8.84250                 NaN            NaN            NaN            NaN   27.2727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9701.00        912.241        56.5442                 NaN   7.31857        8.72099                 NaN            NaN            NaN            NaN   27.4162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9801.00        917.086        56.5452                 NaN   7.31710        8.73132                 NaN            NaN            NaN            NaN   27.4063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9901.00        921.905        56.5451                 NaN   7.31140        8.71025                 NaN            NaN            NaN            NaN   27.4332                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10001.0        926.699        56.5449                 NaN   7.30610        8.68720                 NaN            NaN            NaN            NaN   27.4619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10101.0        931.467        56.5445                 NaN   7.30103        8.66397                 NaN            NaN            NaN            NaN   27.4905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10201.0        936.211        56.5449                 NaN   7.29310        8.65637                 NaN            NaN            NaN            NaN   27.5056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10301.0        940.929        56.5454                 NaN   7.29313        8.65640                 NaN            NaN            NaN            NaN   27.5051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10401.0        945.622        56.5437                 NaN   7.28687        8.59246                 NaN            NaN            NaN            NaN   27.5770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10501.0        950.290        56.5337                 NaN   7.35116        8.37192                 NaN            NaN            NaN            NaN   27.7432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10601.0        954.933        56.5330                 NaN   7.34859        8.33899                 NaN            NaN            NaN            NaN   27.7794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10701.0        959.552        56.5323                 NaN   7.34603        8.30627                 NaN            NaN            NaN            NaN   27.8154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10801.0        964.146        56.5316                 NaN   7.34350        8.27375                 NaN            NaN            NaN            NaN   27.8512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10901.0        968.715        56.5349                 NaN   7.31392        8.32708                 NaN            NaN            NaN            NaN   27.8242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11001.0        973.261        56.5416                 NaN   7.26194        8.45066                 NaN            NaN            NaN            NaN   27.7458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11101.0        977.781        56.5339                 NaN   7.30464        8.26748                 NaN            NaN            NaN            NaN   27.8940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11201.0        982.278        56.5277                 NaN   7.33887        8.11636                 NaN            NaN            NaN            NaN   28.0171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
