|6.6.6
mars_s99_atl_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  7201.00        507.122                 NaN            NaN   39.3960                 NaN   8.41658        8.19112                 NaN            NaN            NaN  0.799394        43.1969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        510.031                 NaN            NaN   39.3964                 NaN   8.41662        8.19118                 NaN            NaN            NaN  0.799402        43.1964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        512.933                 NaN            NaN   39.3969                 NaN   8.41666        8.19123                 NaN            NaN            NaN  0.799410        43.1958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        515.831                 NaN            NaN   39.3974                 NaN   8.41670        8.19129                 NaN            NaN            NaN  0.799418        43.1952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        518.724                 NaN            NaN   39.3978                 NaN   8.41675        8.19135                 NaN            NaN            NaN  0.799426        43.1947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        521.611                 NaN            NaN   39.3955                 NaN   8.18169        8.42705                 NaN            NaN            NaN  0.797651        43.1981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        524.493                 NaN            NaN   39.3960                 NaN   8.18175        8.42709                 NaN            NaN            NaN  0.797659        43.1975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        527.370                 NaN            NaN   39.3970                 NaN   8.43766        8.17194                 NaN            NaN            NaN  0.796524        43.1968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        530.241                 NaN            NaN   39.3975                 NaN   8.43771        8.17199                 NaN            NaN            NaN  0.796532        43.1963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        533.108                 NaN            NaN   39.3980                 NaN   8.43775        8.17205                 NaN            NaN            NaN  0.796541        43.1957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        535.969                 NaN            NaN   39.3952                 NaN   8.44976        8.16070                 NaN            NaN            NaN  0.794103        43.2003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        538.825                 NaN            NaN   39.3956                 NaN   8.44981        8.16075                 NaN            NaN            NaN  0.794111        43.1997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        541.676                 NaN            NaN   39.3961                 NaN   8.44985        8.16081                 NaN            NaN            NaN  0.794119        43.1991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        544.521                 NaN            NaN   38.6345                 NaN   8.02304        8.48805        2.06996                 NaN            NaN            NaN   42.7845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
