|6.6.6
mars_s99_atm_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  6901.00        598.438        11.8885                 NaN   43.6228                 NaN   9.00439                 NaN            NaN            NaN            NaN  0.674758        34.8096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        602.253        11.8411                 NaN   43.6068                 NaN   9.03459                 NaN            NaN            NaN            NaN  0.674551        34.8430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        606.058        11.7548                 NaN   43.5778                 NaN   9.08989                 NaN            NaN            NaN            NaN  0.675509        34.9021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        609.853        11.6521                 NaN   43.5517                 NaN   9.15637                 NaN            NaN            NaN            NaN  0.685286        34.9545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        613.637        11.6987                 NaN   43.5559                 NaN   9.12545                 NaN            NaN            NaN            NaN  0.671383        34.9486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        617.411        11.6979                 NaN   43.5568                 NaN   9.12560                 NaN            NaN            NaN            NaN  0.671392        34.9483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        621.175        11.7458                 NaN   43.5602                 NaN   9.09362                 NaN            NaN            NaN            NaN  0.655931        34.9445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        624.929        11.7450                 NaN   43.5611                 NaN   9.09377                 NaN            NaN            NaN            NaN  0.655940        34.9442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        628.673        10.6317                 NaN   42.5260                 NaN   9.68310                 NaN   1.79386                 NaN            NaN            NaN   35.3653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        632.407        10.6309                 NaN   42.5269                 NaN   9.68324                 NaN   1.79390                 NaN            NaN            NaN   35.3651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        636.130        10.7596                 NaN   42.5747                 NaN   9.59767                 NaN   1.76201                 NaN            NaN            NaN   35.3060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        639.844        10.7589                 NaN   42.5755                 NaN   9.59781                 NaN   1.76205                 NaN            NaN            NaN   35.3057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        643.548        10.5669                 NaN   42.5065                 NaN   9.72048                 NaN   1.75478                 NaN            NaN            NaN   35.4514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        647.241        10.8704                 NaN   42.6184                 NaN   9.52311                 NaN   1.72832                 NaN            NaN            NaN   35.2598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        650.925        10.9715                 NaN   42.6561                 NaN   9.45571                 NaN   1.69167                 NaN            NaN            NaN   35.2251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        654.598        10.9707                 NaN   42.6569                 NaN   9.45585                 NaN   1.69171                 NaN            NaN            NaN   35.2248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        658.262                 NaN            NaN   38.6429                 NaN   7.47436        9.00582        1.86541                 NaN            NaN            NaN   43.0115                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        661.916                 NaN            NaN   38.6434                 NaN   7.47441        9.00585        1.86544                 NaN            NaN            NaN   43.0109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        665.560                 NaN            NaN   38.6436                 NaN   9.09675        7.38403        1.83875                 NaN            NaN            NaN   43.0369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8801.00        669.194                 NaN            NaN   38.6441                 NaN   9.09678        7.38409        1.83877                 NaN            NaN            NaN   43.0362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8901.00        672.818                 NaN            NaN   38.6446                 NaN   9.09681        7.38414        1.83880                 NaN            NaN            NaN   43.0356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9001.00        676.432                 NaN            NaN   38.6448                 NaN   7.27429        9.20759        1.80982                 NaN            NaN            NaN   43.0635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9101.00        680.037                 NaN            NaN   38.6453                 NaN   7.27434        9.20763        1.80985                 NaN            NaN            NaN   43.0629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9201.00        683.631        8.97979                 NaN   41.9376                 NaN   10.7345                 NaN   1.69763                 NaN            NaN            NaN   36.6505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9301.00        687.216                 NaN            NaN   38.6477                 NaN   9.30700        7.17666        1.82070                 NaN            NaN            NaN   43.0480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9401.00        690.792                 NaN            NaN   38.6482                 NaN   9.30704        7.17671        1.82072                 NaN            NaN            NaN   43.0473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9501.00        694.357                 NaN            NaN   38.6487                 NaN   9.30707        7.17676        1.82075                 NaN            NaN            NaN   43.0467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9601.00        697.913                 NaN            NaN   38.6492                 NaN   9.30711        7.17681        1.82078                 NaN            NaN            NaN   43.0461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9701.00        701.458                 NaN            NaN   38.6497                 NaN   9.30714        7.17686        1.82081                 NaN            NaN            NaN   43.0455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9801.00        704.995                 NaN            NaN   38.6502                 NaN   9.30718        7.17691        1.82084                 NaN            NaN            NaN   43.0449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9901.00        708.521                 NaN            NaN   38.6507                 NaN   9.30722        7.17696        1.82087                 NaN            NaN            NaN   43.0443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10001.0        712.038                 NaN            NaN   38.6488                 NaN   10.6404        5.85208        1.68740                 NaN            NaN            NaN   43.1713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10101.0        715.546                 NaN            NaN   38.6517                 NaN   9.30729        7.17706        1.82093                 NaN            NaN            NaN   43.0431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10201.0        719.043                 NaN            NaN   38.6522                 NaN   9.30732        7.17711        1.82096                 NaN            NaN            NaN   43.0424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10301.0        722.531                 NaN            NaN   38.6516                 NaN   11.6249        4.87000        1.70451                 NaN            NaN            NaN   43.1490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10401.0        726.010                 NaN            NaN   38.6521                 NaN   11.6250        4.87003        1.70454                 NaN            NaN            NaN   43.1484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10501.0        729.479                 NaN            NaN   38.6520                 NaN   16.4984                 NaN   1.66746                 NaN            NaN            NaN   43.1821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10601.0        732.938                 NaN            NaN   38.6527                 NaN   16.4994                 NaN   1.66753                 NaN            NaN            NaN   43.1803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10701.0        736.388                 NaN            NaN   38.6531                 NaN   16.5011                 NaN   1.65471                 NaN            NaN            NaN   43.1910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10801.0        739.829                 NaN            NaN   38.6534                 NaN   16.5029                 NaN   1.64225                 NaN            NaN            NaN   43.2014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10901.0        743.260                 NaN            NaN   38.6533                 NaN   16.5068                 NaN   1.61324                 NaN            NaN            NaN   43.2266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11001.0        746.681                 NaN            NaN   38.6523                 NaN   16.5125                 NaN   1.55804                 NaN            NaN            NaN   43.2771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
