|6.6.6
mars_t13_ath_3.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  6501.00        743.005        34.2695                 NaN   100.000                 NaN   45.0617                 NaN            NaN            NaN   34.2695        29.4821        29.4821                 NaN   2.68842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        748.730        34.2461                 NaN   100.000                 NaN   45.0711                 NaN            NaN            NaN   34.2461        29.5089        29.5089                 NaN   2.68281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        754.426        34.1788                 NaN   100.000                 NaN   45.0889                 NaN            NaN            NaN   34.1788        29.5729        29.5729                 NaN   2.66088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        760.092        34.1623                 NaN   100.000                 NaN   45.0696                 NaN            NaN            NaN   34.1623        29.5535        29.5535                 NaN   2.64522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        765.729        34.2310                 NaN   100.000                 NaN   45.0589                 NaN            NaN            NaN   34.2310        29.5075        29.5075                 NaN   2.67168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        771.337        34.0150                 NaN   100.000                 NaN   45.1362                 NaN            NaN            NaN   34.0150        29.7336        29.7336                 NaN   2.60983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        776.916        33.9992                 NaN   100.000                 NaN   45.0970                 NaN            NaN            NaN   33.9992        29.6844        29.6844                 NaN   2.58538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        782.466        34.1553                 NaN   100.000                 NaN   45.0626                 NaN            NaN            NaN   34.1553        29.5555        29.5555                 NaN   2.64073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        787.988        34.1260                 NaN   100.000                 NaN   45.0373                 NaN            NaN            NaN   34.1260        29.5356        29.5356                 NaN   2.61618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        793.482        34.0930                 NaN   100.000                 NaN   45.0928                 NaN            NaN            NaN   34.0930        29.6347        29.6347                 NaN   2.62737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        798.947        34.0911                 NaN   100.000                 NaN   45.1138                 NaN            NaN            NaN   34.0911        29.6636        29.6636                 NaN   2.63753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        804.384        34.0692                 NaN   100.000                 NaN   45.1290                 NaN            NaN            NaN   34.0692        29.6973        29.6973                 NaN   2.63533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        809.792        34.0014                 NaN   100.000                 NaN   45.3163                 NaN            NaN            NaN   34.0014        30.0133        30.0133                 NaN   2.69026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        815.173        33.9825                 NaN   100.000                 NaN   45.0212                 NaN            NaN            NaN   33.9825        29.5923        29.5923                 NaN   2.54638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        820.526        33.9919                 NaN   100.000                 NaN   45.1753                 NaN            NaN            NaN   33.9919        29.8070        29.8070                 NaN   2.62344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
